Route Id,Latitude,Longitude,Speed,Timestamp,Id,Direction,Agency Name,Agency Id,Route Short Name,Trip Headsign
3711,-34.69514,-58.69446,3.888888,1568158614,1822,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,253A,a LIBERTAD
3713,-34.64934,-58.6166458,13.0555553,1568158614,1825,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.65994,-58.6665459,13.0555553,1568158614,1831,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3712,-34.6608,-58.6652,13.0555553,1568158614,1832,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,a LIBERTAD
3713,-34.63991,-58.5541649,13.0555553,1568158614,1836,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.65877,-58.6373138,9.722222,1568158614,1839,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3712,-34.67448,-58.664566,9.722222,1568158614,1842,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,a Est. CASTELAR
3713,-34.66034,-58.66806,4.444444,1568158614,1844,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.64679,-58.59988,4.444444,1568158614,1845,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.65236,-58.6421661,4.444444,1568158614,1851,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.64416,-58.58778,1.111111,1568158614,1853,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3713,-34.70546,-58.6716,3.055555,1568158524,1857,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Liniers
3711,-34.6658,-58.66944,2.5,1568158614,1859,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,253A,a LIBERTAD
3712,-34.6592,-58.66437,2.5,1568158614,1864,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,a LIBERTAD
3713,-34.64695,-58.6004448,3.055555,1568158584,1865,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Liniers
3713,-34.66609,-58.67032,3.055555,1568158614,1866,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Bº Nuevo
3711,-34.6964,-58.6897545,2.5,1568158614,1868,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,253A,a LIBERTAD
3713,-34.67896,-58.6699,13.333333,1568158614,1870,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Liniers
3713,-34.64305,-58.57958,8.888888,1568158614,1871,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,a Liniers
582,-34.70658,-58.2630653,21.9444447,1568158614,1878,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159K,Semirápido Hudson hacia Hudson
481,-34.75024,-58.304615,12.5,1568158614,1885,1,EL NUEVO HALCON S.A.,63,148I,a Constitución
578,-34.7154,-58.2409859,18.3333321,1568158614,1886,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159J,Semirápido Begui hacia Capital
575,-34.7827,-58.2610741,9.722222,1568158614,1887,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159E,2 hacia C Central
582,-34.79544,-58.1425,9.722222,1568158614,1889,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159K,Semirápido Hudson hacia Hudson
262,-34.7898,-58.20298,9.722222,1568158584,1891,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159C,L (Roja) Pueblo Nuevo
2728,-34.80734,-58.1840057,9.722222,1568158584,1893,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,219R3N,3 (Negro) Est Quilmes
