mes;cuit;tipo;monto
03/2019;23-13418186-9;2443.92;"Comp. Usuario con discapacidad"
03/2019;30-53313348-3;121505.76;"Comp. Usuario con discapacidad"
03/2019;30-54408966-4;135894.50;"Comp. Usuario con discapacidad"
03/2019;30-54578922-8;97181.43;"Comp. Usuario con discapacidad"
03/2019;30-54622131-4;833830.03;"Comp. Usuario con discapacidad"
03/2019;30-54622179-9;7272.72;"Comp. Usuario con discapacidad"
03/2019;30-54622766-5;963381.29;"Comp. Usuario con discapacidad"
03/2019;30-54623424-6;155139.95;"Comp. Usuario con discapacidad"
03/2019;30-54624380-6;503122.96;"Comp. Usuario con discapacidad"
03/2019;30-54624762-3;727642.49;"Comp. Usuario con discapacidad"
03/2019;30-54625284-8;118096.94;"Comp. Usuario con discapacidad"
03/2019;30-54625314-3;377669.58;"Comp. Usuario con discapacidad"
03/2019;30-54625840-4;526683.64;"Comp. Usuario con discapacidad"
03/2019;30-54626164-2;11425.34;"Comp. Usuario con discapacidad"
03/2019;30-54626201-0;113409.81;"Comp. Usuario con discapacidad"
03/2019;30-54633302-3;619103.34;"Comp. Usuario con discapacidad"
03/2019;30-54633760-6;225608.94;"Comp. Usuario con discapacidad"
03/2019;30-54633944-7;517097.94;"Comp. Usuario con discapacidad"
03/2019;30-54634367-3;109976.31;"Comp. Usuario con discapacidad"
03/2019;30-54637090-5;129527.65;"Comp. Usuario con discapacidad"
03/2019;30-54639386-7;452587.95;"Comp. Usuario con discapacidad"
03/2019;30-54640151-7;161487.49;"Comp. Usuario con discapacidad"
03/2019;30-54641680-8;272281.12;"Comp. Usuario con discapacidad"
03/2019;30-54657368-7;18218.30;"Comp. Usuario con discapacidad"
03/2019;30-54662272-6;182106.77;"Comp. Usuario con discapacidad"
03/2019;30-55076210-9;206047.40;"Comp. Usuario con discapacidad"
03/2019;30-56178540-2;584231.09;"Comp. Usuario con discapacidad"
03/2019;30-56238208-5;173818.16;"Comp. Usuario con discapacidad"
03/2019;30-56354526-3;45157.21;"Comp. Usuario con discapacidad"
03/2019;30-56394131-2;1866.48;"Comp. Usuario con discapacidad"
03/2019;30-56468014-8;255806.94;"Comp. Usuario con discapacidad"
03/2019;30-56610811-5;12947.29;"Comp. Usuario con discapacidad"
03/2019;30-56932483-8;366610.23;"Comp. Usuario con discapacidad"
03/2019;30-57733887-2;1168650.54;"Comp. Usuario con discapacidad"
03/2019;30-57945598-1;9415.04;"Comp. Usuario con discapacidad"
03/2019;30-58121405-3;522015.29;"Comp. Usuario con discapacidad"
03/2019;30-59033015-5;26729.61;"Comp. Usuario con discapacidad"
03/2019;30-60597072-5;377443.64;"Comp. Usuario con discapacidad"
03/2019;30-61035814-0;40624.64;"Comp. Usuario con discapacidad"
03/2019;30-61133884-4;2976962.52;"Comp. Usuario con discapacidad"
03/2019;30-61322839-6;296827.63;"Comp. Usuario con discapacidad"
03/2019;30-61580178-6;24217.01;"Comp. Usuario con discapacidad"
